"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 24","1,630.11","1,638.68","1,643.64","1,629.86","","-0.45%"
"2023- 05- 23","1,637.40","1,634.49","1,641.78","1,627.49","","0.24%"
"2023- 05- 22","1,633.52","1,649.69","1,653.02","1,633.07","","-0.94%"
"2023- 05- 19","1,649.08","1,656.27","1,658.61","1,644.18","","-0.40%"
"2023- 05- 18","1,655.76","1,666.79","1,669.38","1,653.60","","-0.61%"
"2023- 05- 17","1,665.92","1,676.72","1,678.10","1,662.02","","-0.60%"
"2023- 05- 16","1,675.92","1,673.54","1,681.69","1,667.70","","0.19%"
"2023- 05- 15","1,672.81","1,672.10","1,677.17","1,663.26","","0.03%"
"2023- 05- 12","1,672.24","1,665.39","1,675.92","1,662.44","","0.44%"
"2023- 05- 11","1,664.87","1,664.16","1,676.24","1,661.10","","0.08%"
"2023- 05- 10","1,663.54","1,673.97","1,676.81","1,663.50","","-0.58%"
"2023- 05- 09","1,673.18","1,668.45","1,675.08","1,665.05","","0.35%"
"2023- 05- 08","1,667.32","1,665.97","1,675.91","1,663.86","","0.19%"
"2023- 05- 05","1,664.10","1,663.68","1,668.95","1,655.30","","0.05%"
"2023- 05- 04","1,663.21","1,676.61","1,679.47","1,661.06","","-0.80%"
"2023- 05- 03","1,676.59","1,673.73","1,678.84","1,664.61","","0.22%"
"2023- 05- 02","1,672.93","1,678.44","1,679.29","1,668.54","","-0.25%"
"2023- 05- 01","1,677.19","1,681.61","1,685.48","1,674.33","","-0.19%"
