"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 19","9.6043","9.6210","9.6599","9.5514","","-0.14%"
"2023- 05- 18","9.6182","9.6940","9.7168","9.6101","","-0.73%"
"2023- 05- 17","9.6894","9.8455","9.8569","9.6804","","-1.54%"
"2023- 05- 16","9.8413","9.8132","9.8766","9.7980","","0.32%"
"2023- 05- 15","9.8102","9.8997","9.9020","9.7931","","-0.80%"
"2023- 05- 12","9.8896","9.8928","9.9382","9.8728","","0.00%"
"2023- 05- 11","9.8895","9.8109","9.9525","9.7941","","0.84%"
"2023- 05- 10","9.8070","9.8080","9.8483","9.7692","","0.04%"
"2023- 05- 09","9.8035","9.7878","9.8342","9.7759","","0.23%"
"2023- 05- 08","9.7808","9.7753","9.8334","9.7410","","0.12%"
"2023- 05- 05","9.7692","9.8538","9.8680","9.7562","","-0.82%"
"2023- 05- 04","9.8500","9.9136","9.9344","9.8173","","-0.57%"
"2023- 05- 03","9.9068","9.8322","9.9178","9.8061","","0.79%"
"2023- 05- 02","9.8287","9.7682","9.8495","9.7132","","0.70%"
"2023- 05- 01","9.7606","9.8182","9.8263","9.7546","","-0.55%"
